outdir	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters

region	0
centerswithfixed	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters\fungi_LSU_0(15)_to_0(19)_w_centers_w_fixed.pviz
fasta	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\Sequences\mega_region_0.fa
cnum	mindistmean	minmdsmean	mdscog
0	OK	OK	OK
1	OK	OK	OK
2	NA	NA	NA
3	OK	OK	OK
4	OK	OK	OK
5	OK	OK	OK
6	BAD	REASONABLE	OK
7	BAD	BAD	OK
8	NA	NA	NA
9	BAD	OK	OK
10	BAD	BAD	OK
11	NA	NA	NA
12	BAD	OK	OK
13	REASONABLE	BAD	OK
14	REASONABLE	BAD	OK
15	NA	NA	NA
16	OK	OK	BAD
17	NA	NA	NA
18	NA	NA	NA

region	1
centerswithfixed	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters\fungi_LSU_1(2)_to_1(2)_w_centers_w_fixed.pviz
fasta	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\Sequences\mega_region_1.fa
cnum	mindistmean	minmdsmean	mdscog
0	BAD	OK	OK
1	OK	OK	OK

region	2
centerswithfixed	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters\fungi_LSU_2(10)_to_2(21)_w_centers_w_fixed.pviz
fasta	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\Sequences\mega_region_2.fa
cnum	mindistmean	minmdsmean	mdscog
0	BAD	OK	OK
1	OK	OK	OK
2	BAD	OK	OK
3	REASONABLE	OK	OK
4	OK	OK	OK
5	OK	OK	OK
6	BAD	REASONABLE	OK
7	BAD	OK	OK
8	BAD	OK	OK
9	OK	BAD	REASONABLE
10	OK	BAD	OK
11	OK	OK	OK
12	OK	Ok	OK
13	NA	NA	NA
14	NA	NA	NA
15	OK	OK	OK
16	OK	REASONABLE	OK
17	OK	REASONABLE	OK
18	OK	OK	OK
19	REASONABLE	OK	OK
20	NA	NA	NA

region	3
centerswithfixed	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters\fungi_LSU_3(15)_to_3(26)_w_centers_w_fixed.pviz
fasta	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\Sequences\mega_region_3.fa
cnum	mindistmean	minmdsmean	mdscog
0	BAD	OK	OK
1	OK	REASONABLE	OK
2	BAD	REASONABLE	OK
3	NA	NA	NA
4	OK	REASONABLE	OK
5	BAD	OK	OK
6	BAD	REASONABLE	OK
7	OK	OK	OK
8	BAD	OK	OK
9	BAD	REASONABLE	OK
10	BAD	OK	OK
11	OK	REASONABLE	REASONABLE
12	OK	REASONABLE	OK
13	BAD	REASONABLE	OK
14	OK	REASONABLE	REASONABLE
15	OK	REASONABLE	REASONABLE
16	BAD	REASONABLE	OK
17	NA	NA	NA
18	OK	BAD	OK
19	NA	NA	NA
20	OK	REASONABLE	REASONABLE
21	NA	NA	NA
22	NA	NA	NA
23	NA	NA	NA
24	BAD	OK	OK
25	BAD	REASONABLE	OK

region	4
centerswithfixed	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters\fungi_LSU_4(12)_to_4(16)_w_centers_w_fixed.pviz
fasta	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\Sequences\mega_region_4.fa
cnum	mindistmean	minmdsmean	mdscog
0	BAD	BAD	OK
1	BAD	REASONABLE	OK
2	BAD	REASONABLE	OK
3	OK	BAD	BAD
4	OK	OK	OK
5	OK	REASONABLE	OK
6	BAD	BAD	OK
7	NA	NA	NA
8	BAD	REASONABLE	OK
9	OK	REASONABLE	REASONABLE
10	BAD	REASONABLE	OK
11	BAD	OK	OK
12	BAD	REASONABLE	OK
13	OK	OK	OK
14	BAD	REASONABLE	OK
15	BAD	BAD	OK

region	5
centerswithfixed	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters\fungi_LSU_5(26)_to_5(28)_w_centers_w_fixed.pviz
fasta	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\Sequences\mega_region_5.fa
cnum	mindistmean	minmdsmean	mdscog
0	REASONABLE	REASONABLE	OK
1	BAD	REASONABLE	OK
2	BAD	BAD	OK
3	REASONABLE	REASONABLE	OK
4	NA	NA	NA
5	BAD	REASONABLE	OK
6	NA	NA	NA
7	BAD	REASONABLE	OK
8	OK	REASONABLE	OK
9	NA	NA	NA
10	OK	OK	OK
11	BAD	OK	OK
12	OK	OK	OK
13	NA	NA	NA
14	REASONABLE	REASONABLE	OK
15	NA	NA	NA
16	NA	NA	NA
17	BAD	OK	OK
18	REASONABLE	OK	OK
19	OK	OK	OK
20	BAD	OK	OK
21	REASONABLE	BAD	REASONABLE
22	NA	NA	NA
23	NA	NA	NA
24	NA	NA	NA
25	NA	NA	NA
26	OK	REASONABLE	OK
27	OK	REASONABLE	REASONABLE

region	6
centerswithfixed	G:\My Box Files\SalsaBio\millions\446K_uniq\reclassification\regions\MultiDimensionalScaling\FixedPointRuns\MDSasChisq\PlotsWithCenters\fungi_LSU_6(9)_to_6(8)_w_centers_w_fixed.pviz
